WeightInteger
81
106
83
97
86
81
111
106
86
72
86
108
97
84
99
113
111
92
95
110
90
95
126
94
86
89
90
90
114
102
104
102
92
111
111
92
89
90
115
92
86
108
95
88
115
83
113
102
102
99
76
93
99
92
85
97
86
90
86
102
106
95
127
91
108
86
86
99
99
92
92
86
98
92
95
104
95
83
92
88
104
94
90
86
99
79
99
102
103
86
116
88
92
86
93
83
99
113
88
86
101
90
81
86
90
87
97
107
92
88
97
88
87
95
120
111
74
97
100
102
99
87
92
115
91
120
83
100
90
103
114
120
81
83
99
108
79
104
95
86
97
93
88
90
102
106
108
97
127
97
92
99
102
104
111
92
106
92
97
111
108
90
108
88
88
97
91
99
97
97
99
89
90
88
97
95
88
92
104
95
110
113
90
107
89
120
83
102
104
99
93
97
86
111
102
95
99
113
92
74
107
83
113
83
108
78
81
99
107
97
95
90
89
88
83
91
106
104
122
83
102
106
117
102
86
113
84
95
99
86
91
97
92
95
99
86
97
90
81
99
108
108
99
106
87
88
95
109
97
110
92
99
108
101
92
97
91
95
92
108
97
95
83
88
80
106
95
108
104
113
107
97
90
104
115
99
127
102
95
88
90
102
120
104
102
102
87
97
86
83
87
87
92
81
97
97
90
97
92
96
90
92
92
98
89
92
113
93
92
92
131
100
112
104
102
83
102
95
104
99
108
92
95
92
79
83
102
92
108
89
97
113
95
92
100
83
100
88
97
85
99
113
88
92
97
108
104
113
100
88
104
88
90
104
81
86
111
108
113
99
94
113
95
92
86
99
104
110
93
113
93
83
83
81
103
95
84
90
98
92
88
99
90
108
94
111
106
90
115
94
91
97
86
97
108
97
112
98
94
79
102
88
99
108
104
83
111
117
95
95
95
113
104
95
99
92
119
112
97
111
83
92
104
128
92
117
95
97
99
97
108
104
108
106
115
95
106
83
111
104
95
113
111
94
92
99
97
81
99
95
88
97
102
90
83
92
111
110
95
78
90
107
88
81
86
83
94
106
93
104
97
79
112
105
93
102
117
104
90
97
81
98
92
108
97
93
107
77
83
94
88
92
90
94
106
97
102
95
83
97
120
92
86
105
106
97
98
97
88
97
91
97
86
104
112
93
92
102
110
112
100
98
103
74
111
83
80
107
83
86
83
122
106
93
98
115
99
86
88
88
88
101
83
97
90
90
88
88
106
85
106
92
88
107
111
122
97
111
72
86
106
90
113
138
90
108
83
128
93
