Player,,Weight_catlight_player,Weight_catmedium_player,Weight_catheavy_player
E.J. Liddell,108.86208,0,0,1
Elfrid Payton,88.45044,1,0,0
Elijah Harkless,88.45044,1,0,0
Emanuel Miller,97.52228,0,1,0
Emoni Bates,91.625584,1,0,0
Enrique Freeman,99.79024,0,1,0
Eric Gordon,97.52228,0,1,0
Evan Mobley,97.52228,0,1,0
Franz Wagner,99.79024,0,1,0
Fred VanVleet,89.357624,1,0,0
Gabe Vincent,90.7184,1,0,0
Garrett Temple,88.45044,1,0,0
Garrison Mathews,97.52228,0,1,0
Gary Harris,95.25432,0,1,0
Gary Payton II,88.45044,1,0,0
Gary Trent Jr.,92.532768,1,0,0
Georges Niang,104.32616,0,1,0
GG Jackson,95.25432,0,1,0
Giannis Antetokounmpo,110.222856,0,0,1
Goga Bitadze,113.398,0,0,1
Gradey Dick,90.7184,1,0,0
Grant Williams,107.047712,0,0,1
Grayson Allen,89.811216,1,0,0
Guerschon Yabusele,120.20188,0,0,1
Gui Santos,83.91452,1,0,0
Harrison Barnes,102.0582,0,1,0
Harrison Ingram,104.32616,0,1,0
Haywood Highsmith,99.79024,0,1,0
Herbert Jones,93.439952,0,1,0
Hunter Tyson,97.52228,0,1,0
Immanuel Quickley,86.18248,1,0,0
Isaac Jones,111.13004,0,0,1
Isaac Okoro,102.0582,0,1,0
Isaiah Collier,95.25432,0,1,0
Isaiah Crawford,99.79024,0,1,0
Isaiah Hartenstein,113.398,0,0,1
Isaiah Jackson,92.98636,1,0,0
Isaiah Joe,74.84268,1,0,0
Isaiah Mobley,107.954896,0,0,1
Isaiah Stevens,83.91452,1,0,0
Isaiah Stewart,113.398,0,0,1
Isaiah Wong,83.91452,1,0,0
Ivica Zubac,108.86208,0,0,1
Ja Morant,78.925008,1,0,0
Ja'Kobe Walter,81.64656,1,0,0
Jabari Smith Jr.,99.79024,0,1,0
Jabari Walker,107.501304,0,0,1
Jack McVeigh,97.52228,0,1,0
Jackson Rowe,95.25432,0,1,0
Jacob Toppin,90.7184,1,0,0
Jaden Hardy,89.811216,1,0,0
Jaden Ivey,88.45044,1,0,0
Jaden McDaniels,83.91452,1,0,0
Jaden Springer,91.625584,1,0,0
Jae Crowder,106.59412,0,0,1
Jae'Sean Tate,104.32616,0,1,0
Jahlil Okafor,122.46984,0,0,1
Jahmir Young,83.91452,1,0,0
Jaime Jaquez Jr.,102.0582,0,1,0
Jake LaRavia,106.59412,0,0,1
Jakob Poeltl,117.93392,0,0,1
Jalen Bridges,102.0582,0,1,0
