"NAME" "TEAM" "POS" "AGE" "GP-Games_played" "MpG-Minutes_per_game" "USG%-usage_rate" "TO%-Turnovers_per_100_poss" "FTA" "FT%" "2PA" "2P%" "3PA" "3P%" "eFG%" "TS%-Shooting_efficiency" "PpG-Points" "RpG-Rebounds" "ApG-Assists" "SpG-Steals" "BpG-Blocks" "TOpG-Turnovers_per_game" "P+R-Points_rebounds" "P+A-Points_assists" "P+R+A-Points_rebounds_assists" "VI-player_versatility" "ORtg-points_produced" "DRtg-points_allowed" "RANK"
"Onyeka Okongwu" Atl F-C 24.3 74 27.9 17.3 11.6 216 0.759 536 0.634 148 0.324 0.602 0.634 13.4 8.9 2.3 0.9 0.9 1.2 22.3 15.6 24.5 9.3 128.5 108.2 130
"Russell Westbrook" Den G 36.4 75 27.9 23.8 22.5 233 0.661 540 0.517 291 0.323 0.505 0.532 13.3 4.9 6.1 1.4 0.5 3.2 18.2 19.3 24.3 10.5 104.4 109.2 131
"Naji Marshall" Dal F 27.2 69 27.8 20 13.6 160 0.813 494 0.611 218 0.275 0.551 0.584 13.2 4.8 3 1 0.2 1.6 18 16.3 21 8.3 114.5 113.6 132
"Rui Hachimura" Lal F 27.2 59 31.7 15.8 7.8 113 0.77 329 0.581 247 0.413 0.597 0.619 13.1 5 1.4 0.8 0.4 0.8 18.1 14.6 19.6 5.7 123.2 113 134
"Alexandre Sarr" Was C 20 67 27.1 23.5 12.1 165 0.679 487 0.454 341 0.308 0.457 0.482 13 6.5 2.4 0.7 1.5 1.7 19.5 15.4 21.9 8.7 98.7 114.2 135
"Brook Lopez" Mil C 37 80 31.8 15.8 9.8 138 0.826 401 0.636 373 0.373 0.599 0.624 13 5 1.8 0.6 1.9 1.1 18 14.8 19.8 6.2 122 110.7 136
"Moritz Wagner" Orl F-C 28 30 18.8 26.8 16.4 110 0.718 174 0.649 75 0.36 0.616 0.649 12.9 4.9 1.4 0.8 0.4 1.6 17.8 14.3 19.2 9.5 117.6 101.2 137
"Scoot Henderson" Por G 21.2 66 26.7 22.5 20.5 206 0.767 388 0.469 297 0.354 0.496 0.54 12.7 3 5.1 1 0.2 2.7 15.7 17.8 20.8 8.7 107 109.4 139
"Keldon Johnson" San F-G 25.5 77 23.9 21.6 9.1 194 0.773 496 0.573 274 0.318 0.538 0.572 12.7 4.8 1.6 0.6 0.3 1 17.5 14.3 19.2 7.7 115.3 114.6 140
"Malcolm Brogdon" Was G 32.3 24 23.5 23.7 13.7 92 0.88 184 0.478 56 0.286 0.467 0.544 12.7 3.8 4.1 0.5 0.2 1.6 16.5 16.8 20.6 9.9 112.8 119.1 141
"Zaccharie Risacher" Atl F 20 75 24.6 20.9 10.5 149 0.711 436 0.539 344 0.355 0.536 0.557 12.6 3.6 1.2 0.7 0.5 1.2 16.1 13.8 17.4 6.2 108 113 142
"Santi Aldama" Mem F-C 24.3 65 25.5 18.5 9.9 94 0.691 322 0.599 326 0.368 0.576 0.588 12.5 6.4 2.9 0.8 0.4 1.1 18.9 15.4 21.8 9.6 121.8 111.6 144
"Ty Jerome" Cle G-F 27.8 70 19.9 23.6 13 148 0.872 365 0.57 253 0.439 0.606 0.643 12.5 2.5 3.4 1.1 0 1.3 15 15.9 18.4 9.5 127.4 108.6 145
"Keegan Murray" Sac F 24.7 76 34.3 15 6.8 72 0.833 371 0.566 449 0.343 0.538 0.553 12.4 6.7 1.4 0.8 0.9 0.8 19.1 13.8 20.5 5.7 116.2 112.7 146
"Lonnie Walker IV" Phi G-F 26.3 20 23.8 22.8 10.5 30 0.8 85 0.518 127 0.354 0.526 0.548 12.4 3.2 2.5 0.5 0.3 1.3 15.5 14.9 18 7.8 108.4 117.2 147
"Bilal Coulibaly" Was G 20.7 59 33 17.9 16.7 185 0.746 400 0.5 224 0.281 0.472 0.515 12.3 5 3.4 1.3 0.7 2.1 17.3 15.7 20.7 7.2 102.6 116.8 149
"Ayo Dosunmu" Chi G 25.2 46 30.3 16.6 13.3 79 0.785 260 0.612 189 0.328 0.561 0.585 12.3 3.5 4.5 0.9 0.4 1.5 15.8 16.8 20.3 7.6 117.2 113.3 150
"Daniel Gafford" Dal F-C 26.5 57 21.5 19.5 14.1 196 0.689 403 0.702 0 0 0.702 0.716 12.3 6.8 1.4 0.4 1.8 1.2 19.1 13.7 20.5 9.1 137.4 105.3 151
"Harrison Barnes" San F 32.9 82 27.2 15.7 6.8 199 0.809 323 0.591 360 0.433 0.622 0.656 12.3 3.8 1.7 0.5 0.2 0.6 16.1 14 17.8 6.3 132.1 119.7 152
"Jabari Smith Jr." Hou F 21.9 57 30.1 16.4 9.9 126 0.825 289 0.519 277 0.354 0.525 0.562 12.2 7 1.1 0.4 0.7 1.1 19.3 13.3 20.3 6 116.8 107.2 153
"Jaden McDaniels" Min F 24.5 82 31.9 16.3 10.2 128 0.813 531 0.561 303 0.33 0.537 0.562 12.2 5.7 2 1.3 0.9 1.2 17.9 14.2 19.9 6.5 115 105.5 154
"Drew Timme" Bro F 24.6 9 28.2 21.4 12.8 16 0.625 67 0.537 35 0.257 0.485 0.5 12.1 7.2 2.2 0.4 0.1 1.7 19.3 14.3 21.6 8.2 100.5 110.2 155
"Tari Eason" Hou F 23.9 57 24.9 19.4 10.4 104 0.76 375 0.557 184 0.342 0.543 0.567 12 6.4 1.5 1.7 0.9 1.1 18.4 13.5 19.8 7.8 117.8 101.5 157
"Aaron Wiggins" Okc G 26.3 76 22.9 20.3 8.7 89 0.831 389 0.578 339 0.383 0.577 0.596 12 3.9 1.8 0.8 0.2 0.9 15.9 13.8 17.7 7.7 119.1 107.5 158
"Aaron Nesmith" Ind G-F 25.5 45 25 17.4 8.9 80 0.913 184 0.587 195 0.431 0.617 0.653 12 4 1.2 0.8 0.4 0.8 16 13.2 17.2 6.2 123.9 108.2 159
"Rudy Gobert" Min C 32.8 72 33.2 13 14.9 273 0.674 510 0.669 0 0 0.669 0.687 12 10.9 1.8 0.8 1.4 1.2 22.9 13.8 24.7 7.4 137.2 104.9 160
"Jalen Duren" Det C 21.4 78 26.1 16.3 19.9 242 0.669 546 0.692 0 0 0.692 0.703 11.8 10.3 2.7 0.7 1.1 1.7 22.1 14.4 24.8 10.6 132.8 100.6 161
"Brandin Podziemski" Gol G 22.1 64 26.8 18.3 10.6 95 0.758 320 0.516 309 0.372 0.537 0.557 11.7 5.1 3.4 1.1 0.2 1.2 16.8 15.1 20.2 8.8 116.1 109.3 163
"Donte DiVincenzo" Min G 28.2 62 25.9 19.4 14.2 63 0.778 156 0.487 438 0.397 0.567 0.581 11.7 3.7 3.6 1.2 0.3 1.6 15.3 15.3 19 8.3 114.5 107.3 165
"Corey Kispert" Was F 26.1 61 26.3 17.5 10.2 88 0.852 235 0.574 330 0.364 0.558 0.584 11.6 3 1.7 0.4 0.2 1 14.5 13.2 16.2 5.9 112.1 119.7 166
"Jeremy Sochan" San F 21.9 54 25.3 18.9 15 125 0.696 377 0.592 92 0.304 0.565 0.589 11.4 6.5 2.4 0.8 0.5 1.5 17.9 13.8 20.3 8.9 116.4 109.8 172
"Toumani Camara" Por F 24.9 78 32.7 14.4 13.3 126 0.722 356 0.542 360 0.375 0.552 0.572 11.3 5.8 2.2 1.5 0.6 1.4 17.1 13.6 19.3 6.4 116.3 109.5 174
"Walker Kessler" Uta C 23.7 58 30 13.7 17 152 0.52 385 0.706 35 0.171 0.669 0.658 11.1 12.2 1.7 0.6 2.4 1.5 23.2 12.7 24.9 8.2 128.1 112.8 176
"Gary Trent Jr." Mil G 26.2 74 25.6 17.1 6 92 0.848 224 0.46 433 0.416 0.568 0.591 11.1 2.3 1.2 1 0.1 0.6 13.4 12.3 14.6 4.9 115 111 177
"Isaiah Hartenstein" Okc C-F 26.9 57 27.9 16.7 16.7 117 0.675 460 0.604 19 0 0.58 0.599 11.1 10.7 3.8 0.8 1.1 1.7 21.9 15 25.7 11 123.8 96.5 178
"Buddy Hield" Gol G 32.3 82 22.7 20.5 10.4 65 0.831 237 0.527 549 0.37 0.546 0.56 11.1 3.2 1.6 0.8 0.3 1.1 14.4 12.8 16 6.8 108.3 108.9 179
"Jrue Holiday" Bos G 34.8 62 30.6 15.8 11.8 77 0.909 267 0.547 306 0.353 0.538 0.565 11.1 4.3 3.9 1.1 0.4 1.2 15.4 14.9 19.2 7.5 120.9 109.9 180
"Duncan Robinson" Mia F 31 74 24.1 19.2 11.5 53 0.887 180 0.556 483 0.393 0.581 0.595 11 2.3 2.4 0.5 0.1 1.2 13.3 13.4 15.7 6.5 112.3 110.6 181
"Guerschon Yabusele" Phi F 29.3 70 27.1 16.3 13.4 138 0.725 289 0.616 274 0.38 0.593 0.616 11 5.6 2.1 0.8 0.3 1.2 16.6 13.1 18.7 7.5 121.7 112.7 182
"Spencer Dinwiddie" Dal G 32 79 27 17.9 13 243 0.802 356 0.492 326 0.334 0.496 0.553 11 2.6 4.4 0.9 0.2 1.3 13.7 15.5 18.1 7.4 116.1 115.2 183
"Tim Hardaway Jr." Det G-F 33.1 77 28 15.5 6.6 145 0.855 223 0.484 457 0.368 0.529 0.567 11 2.4 1.6 0.5 0.1 0.6 13.3 12.6 14.9 5 117.1 115.6 184
"Brice Sensabaugh" Uta F 21.5 71 20.2 21.5 15.1 73 0.89 227 0.52 372 0.422 0.59 0.612 10.9 3 1.5 0.6 0.1 1.5 13.8 12.4 15.4 7.2 110.7 116.1 185
"Jordan Hawkins" Nor G 23 56 23.6 21 9.4 98 0.816 224 0.433 332 0.331 0.471 0.504 10.8 2.8 1.2 0.5 0.4 1 13.6 12 14.8 5.6 100.6 121.8 186
"Nikola Jovic" Mia F 21.8 46 25.1 18.3 13.7 87 0.828 168 0.56 210 0.371 0.558 0.593 10.7 3.9 2.8 0.8 0.3 1.3 14.7 13.6 17.5 7.8 115.3 108.9 188
"Brandon Boston Jr." Nor G 23.4 42 23.6 20 12 85 0.788 241 0.485 140 0.35 0.5 0.535 10.7 3.2 2.2 1.3 0.2 1.2 13.9 12.9 16 7.2 107.2 116 189
"Keon Johnson" Bro G 23.1 79 24.4 21.7 13 139 0.77 378 0.468 401 0.314 0.47 0.499 10.6 3.8 2.2 1 0.4 1.5 14.4 12.8 16.6 7.3 99.7 107.5 192
"Grayson Allen" Pho G 29.5 64 24.1 17.6 13.3 114 0.816 139 0.504 350 0.426 0.6 0.631 10.6 3 2.1 0.8 0.3 1.2 13.7 12.8 15.8 6.7 118.6 117.1 193
"Terry Rozier" Mia G 31.1 64 25.9 20.4 10.9 108 0.852 327 0.48 308 0.295 0.462 0.497 10.6 3.7 2.6 0.6 0.2 1.2 14.3 13.2 16.9 7.2 102.7 113.1 194
"Obi Toppin" Ind F 27.1 79 19.6 20.1 10.2 114 0.781 298 0.695 301 0.365 0.621 0.642 10.5 4 1.6 0.6 0.4 0.9 14.6 12.2 16.2 8.3 121.5 110.4 196
"Jaylen Wells" Mem F 21.6 79 25.9 15.9 9.3 135 0.822 284 0.525 391 0.353 0.527 0.56 10.4 3.4 1.7 0.6 0.1 0.9 13.8 12.1 15.5 6 116.8 112.6 197
"Ochai Agbaji" Tor G 25 64 27.2 14.6 9.2 48 0.708 281 0.587 253 0.399 0.593 0.601 10.4 3.8 1.5 0.9 0.5 0.8 14.2 12 15.7 5.7 117 112.6 198
"Grant Williams" Cha F 26.4 16 29.9 14.8 18.5 37 0.838 49 0.551 74 0.365 0.549 0.596 10.4 5.1 2.3 1.1 0.8 1.8 15.5 12.7 17.8 6.6 111.8 109.6 199
"Jose Alvarado" Nor G 27 56 24.4 19.8 14.2 74 0.811 212 0.439 309 0.359 0.498 0.523 10.3 2.4 4.6 1.3 0.3 1.5 12.8 15 17.4 7.9 109.8 117.6 201
"Herbert Jones" Nor F 26.5 20 32.4 14.6 16.9 40 0.825 100 0.53 72 0.306 0.5 0.541 10.3 3.9 3.3 1.9 0.5 1.8 14.2 13.5 17.4 6.3 107.5 113.2 203
"Nic Claxton" Bro C 26 70 26.9 16.8 13.3 154 0.513 547 0.576 21 0.238 0.568 0.569 10.3 7.4 2.2 0.9 1.4 1.2 17.7 12.6 19.9 8.2 114.9 109.3 204
"Trendon Watford" Bro G-F 24.4 44 20.7 23.3 19.2 122 0.762 262 0.515 88 0.33 0.51 0.557 10.2 3.6 2.6 0.6 0.3 1.9 13.9 12.8 16.5 8.8 105.1 108.5 205
"Isaiah Joe" Okc G 25.8 74 21.7 17.2 6.1 56 0.821 122 0.549 466 0.412 0.604 0.617 10.2 2.6 1.6 0.6 0.1 0.5 12.9 11.8 14.5 6.4 124.8 107.3 206
"De'Anthony Melton" Gol G 26.9 6 20.2 23.5 15.6 8 0.5 19 0.474 35 0.371 0.528 0.53 10.2 3.3 2.8 1.2 0.3 1.7 13.5 13 16.3 9 104.1 99 208
"Tyus Jones" Pho G 28.9 81 26.8 16.2 11.8 57 0.895 282 0.496 401 0.414 0.57 0.585 10.2 2.4 5.3 0.9 0.1 1.1 12.7 15.5 18 7.6 124.3 122.1 210
"Justin Edwards" Phi F 21.3 44 26.3 16.8 11.5 46 0.696 188 0.548 190 0.363 0.546 0.559 10.1 3.4 1.6 1 0.4 1.1 13.5 11.7 15 5.8 109.3 114.1 211
"Ausar Thompson" Det G-F 22.2 59 22.5 19.1 14.8 142 0.641 411 0.572 49 0.224 0.547 0.568 10.1 5.1 2.3 1.7 0.7 1.4 15.2 12.3 17.5 8.7 114.8 101.2 212
"Keion Brooks Jr." Nor F 24.7 14 23.7 17.1 9.9 30 0.733 66 0.591 43 0.326 0.55 0.581 10.1 4.1 0.9 0.7 0.7 0.9 14.3 11.1 15.2 5.6 113.6 114.3 213
"Luguentz Dort" Okc G 26 71 29.2 13.6 7.9 46 0.717 180 0.489 413 0.412 0.578 0.586 10.1 4.1 1.6 1.1 0.5 0.7 14.3 11.7 15.9 5.5 120.1 103.3 214
"Derrick Jones Jr." Lac F 28.2 77 24.3 16.5 10.1 118 0.703 370 0.627 219 0.356 0.593 0.609 10.1 3.4 0.8 1 0.4 0.9 13.6 10.9 14.3 5 118.1 106.5 215
"Ziaire Williams" Bro F 23.6 63 24.5 18.2 11.4 123 0.821 218 0.509 302 0.341 0.511 0.55 10 4.6 1.3 1 0.4 1.1 14.6 11.4 15.9 6.4 108.6 108.3 216
"Andrew Nembhard" Ind G-F 25.2 65 28.9 16.3 17.2 136 0.794 364 0.538 175 0.291 0.506 0.545 10 3.3 5 1.2 0.2 1.7 13.4 15.1 18.4 7.6 111.3 110.9 217
"Chris Boucher" Tor F 32.3 50 17.2 21.2 7.3 87 0.782 177 0.633 193 0.363 0.586 0.615 10 4.5 0.7 0.5 0.5 0.6 14.5 10.7 15.2 7.3 122.4 109.6 218
"Nick Smith Jr." Cha G 21 60 22.8 20.8 12.6 46 0.935 262 0.45 306 0.34 0.482 0.502 9.9 2.1 2.4 0.3 0.1 1.4 12 12.3 14.4 6.5 99.9 117.2 220
"Scotty Pippen Jr." Mem G 24.4 79 21.3 19.4 18.8 171 0.713 375 0.528 220 0.395 0.552 0.581 9.9 3.3 4.4 1.3 0.4 1.7 13.1 14.3 17.5 9.8 116.8 104.2 221
"Julian Champagnie" San F 23.8 82 23.6 17.2 10 94 0.904 185 0.53 480 0.371 0.549 0.577 9.9 3.9 1.4 0.7 0.4 0.9 13.8 11.3 15.2 6.4 112.6 115.1 222
"Carlton Carrington" Was G 19.7 82 30 15.8 15.9 85 0.812 341 0.475 407 0.339 0.493 0.514 9.8 4.2 4.4 0.7 0.3 1.7 14 14.3 18.4 7.5 103.8 116.4 223
"Moses Moody" Gol G 22.9 74 22.3 17.4 8.7 133 0.797 231 0.519 337 0.374 0.544 0.578 9.8 2.6 1.3 0.8 0.4 0.7 12.3 11.1 13.6 5.8 116.2 110 224
"Amir Coffey" Lac G-F 27.8 72 24.3 15.3 8.1 129 0.891 264 0.527 247 0.409 0.568 0.613 9.7 2.2 1.1 0.6 0.1 0.6 11.9 10.7 13 4.7 121.9 109.7 226
"Kyle Filipowski" Uta C 21.4 72 21.1 18.7 16.4 143 0.65 298 0.614 220 0.35 0.576 0.594 9.6 6.1 1.9 0.7 0.3 1.4 15.7 11.5 17.6 9.1 114.2 109.3 227
"Tosan Evbuomwan" Bro F 24.2 28 23.8 19.1 15 73 0.753 143 0.49 77 0.312 0.482 0.53 9.5 4.3 2 0.9 0.4 1.4 13.8 11.5 15.8 7.3 105.4 110.6 228
"Jalen Wilson" Bro F 24.4 79 25.7 16.6 11.3 165 0.818 258 0.481 362 0.337 0.495 0.541 9.5 3.4 1.8 0.5 0.1 1 12.9 11.3 14.7 6 110.4 113.1 229
"Miles McBride" Nyk G 24.6 64 24.9 16.8 7 64 0.813 235 0.455 312 0.369 0.511 0.531 9.5 2.5 2.9 1 0.3 0.6 12.1 12.5 15 6.6 117.2 112 230
"Tristan Vukcevic" Was F 22.1 35 14.6 25.7 14.8 67 0.776 140 0.586 102 0.373 0.574 0.608 9.4 3.7 1.1 0.3 0.7 1.2 13.1 10.5 14.3 9.2 110.2 109.9 232
"Cam Whitmore" Hou F 20.8 51 16.2 23.9 10.2 72 0.75 220 0.518 183 0.355 0.525 0.549 9.4 3 1 0.6 0.3 0.9 12.3 10.3 13.3 7.5 110.9 108.9 233
"Anthony Black" Orl G 21.2 78 24.2 19.6 18.3 197 0.761 426 0.469 195 0.318 0.472 0.52 9.4 3 3.1 1.1 0.6 1.8 12.4 12.5 15.5 7.3 102.7 104.9 234
"Cole Anthony" Orl G 24.9 67 18.4 24.6 15.9 113 0.823 325 0.471 218 0.353 0.494 0.531 9.4 3 2.9 0.7 0.5 1.5 12.4 12.3 15.3 9.4 105.7 100.6 235
"Nickeil Alexander-Walker" Min G 26.6 82 25.3 16 13.8 118 0.78 246 0.524 370 0.381 0.553 0.579 9.4 3.2 2.7 0.6 0.4 1.2 12.6 12.1 15.4 6.8 115.8 109.6 236
"Max Strus" Cle G-F 29 50 25.5 14.7 12.6 34 0.824 80 0.65 293 0.386 0.594 0.607 9.4 4.3 3.2 0.5 0.2 1.1 13.8 12.6 16.9 7.9 124.6 108.4 237
"Kel'el Ware" Mia C 21 64 22.2 17.2 10.9 67 0.687 353 0.629 111 0.315 0.592 0.603 9.3 7.4 0.9 0.6 1.1 0.9 16.7 10.2 17.6 7.1 117.8 104.8 238
"Zach Edey" Mem C 22.9 66 21.5 16.4 16.9 127 0.709 381 0.612 52 0.346 0.6 0.624 9.2 8.3 1 0.5 1.3 1.3 17.5 10.2 18.5 7.9 122.7 101.9 241
"Yves Missi" Nor C 20.9 73 26.8 14.3 14.3 204 0.623 490 0.549 1 0 0.548 0.573 9.1 8.2 1.4 0.5 1.3 1.1 17.3 10.5 18.7 7 119.4 115.5 244
"Dalton Knecht" Lal F 24 78 19.2 18.5 6.2 84 0.762 217 0.594 340 0.376 0.576 0.594 9.1 2.8 0.8 0.3 0.1 0.5 11.8 9.9 12.7 5.7 117.4 112.7 245
"Noah Clowney" Bro F-C 20.7 46 22.7 19 11 80 0.838 111 0.414 261 0.333 0.474 0.516 9.1 3.9 0.9 0.5 0.5 1 13.1 10 13.9 5.6 102.3 109.3 246
"A.J. Lawson" Tor G 24.7 26 18.7 20 7.3 63 0.683 89 0.528 101 0.327 0.508 0.542 9.1 3.3 1.2 0.5 0.2 0.6 12.4 10.3 13.6 7.1 112.7 109.8 247
"Wendell Carter Jr." Orl C-F 26 68 25.9 16 13.5 175 0.737 333 0.568 158 0.234 0.498 0.544 9.1 7.2 2 0.8 0.6 1.1 16.3 11.1 18.3 7.8 114.7 100.2 249
"Royce O'Neale" Pho F 31.9 75 24.5 15.5 10.2 26 0.731 129 0.481 441 0.406 0.58 0.585 9.1 4.7 2.2 0.9 0.5 0.9 13.7 11.2 15.9 7.4 115.5 112.8 250
"T.J. McConnell" Ind G 33.1 79 17.9 23.4 14.9 77 0.74 575 0.537 49 0.306 0.531 0.547 9.1 2.4 4.4 1.1 0.3 1.4 11.6 13.6 16 10.2 113 112.2 251
"Julian Strawther" Den G 23 65 21.3 17.9 10.5 90 0.822 217 0.535 269 0.349 0.529 0.559 9 2.2 1.3 0.6 0.2 0.9 11.2 10.3 12.5 5.5 108.7 109.6 252
"Patrick Williams" Chi F 23.6 63 25 16.9 14.3 83 0.723 244 0.447 272 0.353 0.49 0.512 9 3.8 2 0.8 0.5 1.4 12.7 11 14.7 6.5 99.5 114.7 253
"Killian Hayes" Bro G 23.7 6 27.1 15.4 17.2 12 0.833 22 0.455 21 0.381 0.512 0.559 9 3 5.2 0.7 0.7 1.5 12 14.2 17.2 7.7 119.1 113.3 254
"Draymond Green" Gol F 35.1 68 29.2 15.9 25.5 146 0.685 263 0.517 246 0.325 0.503 0.534 9 6.1 5.6 1.5 1 2.6 15.1 14.6 20.7 9.2 106.4 102 255
"Al Horford" Bos C-F 38.9 60 27.6 13.8 9.1 38 0.895 147 0.551 314 0.363 0.547 0.563 9 6.2 2.1 0.6 0.9 0.8 15.1 11.1 17.3 7.1 120.6 108.8 256
"Johnny Juzang" Uta G 24.1 64 19.8 17.6 7 53 0.849 161 0.534 314 0.376 0.554 0.573 8.9 2.9 1.1 0.6 0.1 0.6 11.8 10 12.9 6.2 116.5 114 257
"Luke Kennard" Mem G 28.8 65 22.6 14.5 14.3 57 0.895 170 0.547 261 0.433 0.609 0.631 8.9 2.8 3.3 0.8 0.1 1.1 11.7 12.2 15 7.7 125.9 115 260
"Clint Capela" Atl C 30.9 55 21.4 16.7 10.7 97 0.536 389 0.56 1 0 0.559 0.564 8.9 8.5 1.1 0.6 0.9 0.9 17.4 10 18.5 8.2 119.5 107.8 261
"Justin Champagnie" Was G-F 23.8 62 21.6 15.6 11.6 73 0.685 218 0.624 193 0.383 0.601 0.614 8.8 5.7 1 1 0.6 0.9 14.4 9.7 15.4 6.8 118.9 112.6 262
"Svi Mykhailiuk" Uta G-F 27.8 38 20 20.3 14.7 35 0.8 99 0.485 203 0.345 0.507 0.526 8.8 2.4 2 0.5 0.2 1.4 11.2 10.8 13.2 7 102.9 119.7 263
"Chris Paul" San G 39.9 82 28 14 18.1 92 0.924 212 0.514 371 0.377 0.547 0.58 8.8 3.6 7.4 1.3 0.3 1.6 12.4 16.2 19.8 8.8 125.1 114.1 264
"Oshae Brissett" Phi F-G 26.8 6 23.7 16.3 16.9 14 0.571 21 0.619 18 0.333 0.564 0.576 8.7 3.7 0.7 0.7 0.5 1.3 12.3 9.3 13 4.8 104.9 112.5 265
"Kyshawn George" Was F 21.3 68 26.5 15.9 15.1 93 0.753 192 0.464 354 0.322 0.476 0.503 8.7 4.2 2.5 1 0.7 1.4 12.9 11.2 15.4 6.8 99.7 111.5 267
"Isaiah Collier" Uta G 20.5 71 25.9 18.8 27.3 154 0.682 386 0.497 169 0.249 0.459 0.494 8.7 3.3 6.3 0.9 0.2 2.9 12 14.9 18.3 8.7 99.4 115.7 268
"Dereck Lively II" Dal C 21.2 36 23.1 13.6 17.7 73 0.63 191 0.702 0 0 0.702 0.704 8.7 7.5 2.4 0.6 1.6 1.1 16.2 11.1 18.6 9.3 138.3 105.1 269
"Tyrese Martin" Bro F 26.1 60 21.9 18.8 13.7 58 0.793 183 0.492 282 0.351 0.513 0.533 8.7 3.7 2 0.6 0.2 1.2 12.4 10.8 14.4 7.3 105.4 114.4 270
"Jaden Hardy" Dal G 22.8 57 15.9 25.3 16.5 86 0.698 217 0.479 197 0.386 0.527 0.549 8.7 1.6 1.4 0.5 0.1 1.4 10.3 10.1 11.7 6.8 98.8 110.7 271
"Dante Exum" Dal G 29.8 20 18.6 19.6 14.1 31 0.742 81 0.506 53 0.434 0.563 0.589 8.7 1.7 2.8 0.6 0.2 1.1 10.4 11.5 13.2 7.4 115.8 111.8 273
"Kentavious Caldwell-Pope" Orl G 32.2 77 29.6 12.4 10.2 95 0.863 214 0.589 330 0.342 0.543 0.574 8.7 2.2 1.8 1.3 0.4 0.8 10.9 10.5 12.7 4.4 115 109.3 275
"Ja'Kobe Walter" Tor G 20.6 52 21.2 18.2 11.3 83 0.795 207 0.454 186 0.349 0.487 0.523 8.6 3.1 1.6 0.8 0.2 1 11.7 10.2 13.3 6.6 107.4 111.1 278
"Matas Buzelis" Chi F 20.5 80 18.9 18.7 11.8 108 0.815 289 0.54 266 0.361 0.541 0.571 8.6 3.5 1 0.4 0.9 0.9 12.1 9.6 13.1 6.6 108.3 111.5 279
"Jaime Jaquez Jr." Mia G 24.2 66 20.7 20.2 17.5 142 0.754 343 0.513 119 0.311 0.501 0.543 8.6 4.4 2.5 0.9 0.2 1.5 13 11.2 15.5 8.8 108.4 109 280
"Sam Hauser" Bos F 27.3 71 21.7 14.3 4.6 11 1 75 0.64 399 0.416 0.627 0.632 8.5 3.2 0.9 0.6 0.2 0.3 11.7 9.4 12.6 5.4 127.9 109.5 284
"Larry Nance Jr." Atl F-C 32.3 24 19.3 15.7 9.3 13 0.692 79 0.582 76 0.447 0.626 0.632 8.5 4.3 1.6 0.8 0.5 0.7 12.8 10 14.3 8 124.2 110.2 285
"Cason Wallace" Okc G 21.4 68 27.6 12.8 10.8 37 0.811 281 0.562 208 0.356 0.55 0.562 8.4 3.4 2.5 1.8 0.5 0.9 11.7 10.9 14.3 6 117.8 104.9 286
"Jaylen Nowell" Nor G 25.8 8 21 21.6 9.8 11 0.636 46 0.391 27 0.296 0.411 0.43 8.4 2.5 2.3 0.1 0.5 1 10.9 10.6 13.1 6.9 94.3 121.6 287
"Keon Ellis" Sac G 25.3 80 24.4 12.7 13.3 86 0.849 143 0.615 321 0.433 0.639 0.664 8.3 2.7 1.5 1.5 0.8 0.9 11 9.8 12.5 5.3 125.2 109.7 289
"Dalano Banton" Por F 25.4 67 16.7 24.1 14.5 125 0.728 285 0.442 222 0.324 0.462 0.497 8.3 2 2.4 0.6 0.5 1.3 10.4 10.7 12.7 8.2 103.2 114.7 290
"Brandon Williams" Dal G 25.4 33 14.8 22.6 17.2 66 0.833 128 0.578 60 0.4 0.585 0.634 8.3 1.8 2.3 0.7 0.2 1.2 10.1 10.6 12.4 8.8 119.6 112.9 291
"Brandon Clarke" Mem F 28.6 64 18.9 15.4 9.7 87 0.701 363 0.647 17 0.059 0.622 0.638 8.3 5.1 1 0.8 0.6 0.6 13.4 9.4 14.5 7.4 130.1 103.7 292
"Jalen Smith" Chi F-C 25.1 64 15 21 8.3 89 0.809 186 0.634 222 0.324 0.554 0.586 8.2 5.6 1 0.3 0.7 0.6 13.8 9.2 14.8 9.5 120.2 106.4 293
"Taurean Prince" Mil F 31.1 80 27.1 12.5 13.8 48 0.813 179 0.492 335 0.439 0.6 0.613 8.2 3.6 1.9 1 0.2 1 11.8 10.1 13.7 5.6 114 108.9 295
"Mike Conley" Min G 37.5 71 24.7 14.4 13.8 90 0.9 158 0.38 310 0.41 0.535 0.573 8.2 2.6 4.5 1.1 0.2 1.1 10.8 12.7 15.3 7.4 124.7 109.3 296
"Quinten Post" Gol C 25.1 42 16.3 19.6 10.7 27 0.778 95 0.526 179 0.408 0.582 0.595 8.1 3.5 1.3 0.4 0.4 0.8 11.6 9.4 13 8.2 115.6 102.6 297
"Peyton Watson" Den G 22.6 68 24.4 13.9 11.6 137 0.693 292 0.534 136 0.353 0.533 0.564 8.1 3.4 1.4 0.7 1.4 0.8 11.5 9.5 12.9 5.5 112.8 112.5 298
"Tyson Etienne" Bro G 20 7 21.6 18.6 13.3 10 0.8 8 0.5 44 0.295 0.452 0.488 7.9 1.3 1.7 0.4 0.1 1.1 9.1 9.6 10.9 4.8 97.8 111.1 300
"Day'Ron Sharpe" Bro C 23.4 50 18.2 19.8 16.6 74 0.757 272 0.566 45 0.244 0.538 0.568 7.9 6.6 1.8 0.8 0.8 1.3 14.5 9.8 16.4 10 116.8 103.1 301
