"NAME" "TEAM" "POS" "AGE" "GP-Games_played" "MpG-Minutes_per_game" "USG%-usage_rate" "TO%-Turnovers_per_100_poss" "FTA" "FT%" "2PA" "2P%" "3PA" "3P%" "eFG%" "TS%-Shooting_efficiency" "PpG-Points" "RpG-Rebounds" "ApG-Assists" "SpG-Steals" "BpG-Blocks" "TOpG-Turnovers_per_game" "P+R-Points_rebounds" "P+A-Points_assists" "P+R+A-Points_rebounds_assists" "VI-player_versatility" "ORtg-points_produced" "DRtg-points_allowed" "RANK"
"Pascal Siakam" Ind F 31 78 32.7 24.2 8.4 308 0.734 858 0.568 324 0.389 0.572 0.599 20.2 6.9 3.4 0.9 0.5 1.4 27.2 23.6 30.5 9.5 120.3 110.3 53
"Kristaps Porzingis" Bos F-C 29.7 42 28.8 25.9 8.4 199 0.809 324 0.537 250 0.412 0.572 0.618 19.5 6.8 2.1 0.7 1.5 1.3 26.2 21.5 28.3 9.1 124.9 103 56
"Scottie Barnes" Tor F-G 23.7 65 32.8 27 14.8 302 0.755 783 0.508 280 0.271 0.482 0.523 19.3 7.7 5.8 1.4 1 2.8 27 25.1 32.8 11.6 106.9 111.5 57
"Anfernee Simons" Por G 25.9 70 32.7 24.6 11.3 194 0.902 532 0.496 593 0.363 0.521 0.557 19.3 2.7 4.8 0.9 0.1 2 22 24.1 26.8 7.7 114.7 116.2 58
"Desmond Bane" Mem G 26.8 69 32 23.3 14.2 198 0.894 600 0.548 418 0.392 0.565 0.6 19.2 6.1 5.3 1.2 0.4 2.4 25.3 24.6 30.6 10.7 118.6 109.2 59
"Alperen Sengun" Hou C 22.7 76 31.5 26.2 14.5 428 0.692 1053 0.519 90 0.233 0.505 0.545 19.1 10.4 4.9 1.1 0.8 2.6 29.4 24 34.3 12.6 115.3 102.9 60
"Domantas Sabonis" Sac F-C 28.9 70 34.7 21.6 18.5 289 0.754 736 0.628 156 0.417 0.627 0.656 19.1 13.9 6 0.7 0.4 2.9 33 25.1 39 13.5 127.8 106 61
"John Collins" Uta F-C 27.6 40 30.5 24.1 16.2 164 0.848 383 0.577 148 0.399 0.583 0.628 19 8.2 2 1 1 2.6 27.1 21 29.1 8.9 115.3 111.8 63
"Lauri Markkanen" Uta F-C 27.9 47 31.4 24 8.6 185 0.876 301 0.525 399 0.346 0.521 0.571 19 5.9 1.5 0.7 0.4 1.4 24.9 20.5 26.4 7 114.9 118.6 64
"Jalen Johnson" Atl F 23.3 36 35.7 22.5 16.3 126 0.746 402 0.565 141 0.312 0.54 0.568 18.9 10 5 1.6 1 2.9 28.9 23.9 33.9 11 109.6 111.5 66
"Cameron Johnson" Bro F 29.1 57 31.6 22.9 11.7 225 0.893 339 0.578 408 0.39 0.582 0.632 18.8 4.3 3.4 0.9 0.4 1.7 23.1 22.2 26.5 8.2 122.5 114.8 67
"Julius Randle" Min F-C 30.4 69 32.3 25 17.3 335 0.806 625 0.555 314 0.344 0.542 0.593 18.7 7.1 4.7 0.7 0.2 2.8 25.7 23.3 30.4 10.6 116.3 106.9 68
