NAME	POS	EST. RETURN DATE	STATUS	COMMENT
Trey Murphy III	SG	Oct 1	Out	Mar 18: Murphy sustained a season-ending torn labrum in his right shoulder during Monday's 127-81 loss to the Pistons, Shams Charania of ESPN reports.
Herbert Jones	SF	Oct 1	Out	Feb 26: The Pelicans announced that Jones underwent successful surgery Feb. 12 to repair a torn rotator cuff in his right shoulder.
Dejounte Murray	SG	Oct 1	Out	Jan 31: Shams Charania of ESPNMurray suffered a torn right Achilles tendon during Friday's game against the Celtics and will now miss the rest of the season, Shams Charania of ESPN.com reports.
Ousmane Dieng	F	May 5	Out	Apr 25: Dieng (calf) has been ruled out for Saturday's Game 4 against the Grizzlies.
Nikola Topic	G	Jul 2	Out	Jan 12: Topic (knee) was spotted taking part in light shooting drills on the court prior to the Thunder's 105-92 loss to the Celtics last Sunday, Clemente Almanza of USA Today reports.
Jalen Suggs	SG	Oct 1	Out	Mar 4: The Magic announced Tuesday that Suggs (knee) has been ruled out for the remainder of the 2024-25 campaign after undergoing successful surgery.
Moritz Wagner	C	Oct 1	Out	Jan 9: The Magic announced that Wagner underwent successful surgery to repair a torn ACL in his left knee Wednesday and will miss the remainder of the 2024-25 season.
Guerschon Yabusele	F	Oct 1	Out	Apr 13: Yabusele (knee) has been ruled out for Sunday's game against the Bulls, Adam Aaronson of PhillyVoice.com reports.
Justin Edwards	F	Oct 1	Out	Apr 13: Edwards (ribs) has been ruled out for Sunday's game against the Bulls, Adam Aaronson of PhillyVoice.comreports.
Kyle Lowry	PG	Oct 1	Out	Apr 12: Lowry (hip) is out for Sunday's game against the Bulls.
Andre Drummond	C	Oct 1	Out	Apr 12: Drummond (toe) has been ruled out for Sunday's game against Chicago.
Joel Embiid	C	Oct 1	Out	Apr 11: The 76ers announced Friday that Embiid underwent successful arthroscopic surgery on his left knee Wednesday, and he will be re-evaluated in approximately six weeks, Ky Carlin of USA Today reports.
Kelly Oubre Jr.	SG	Oct 1	Out	Apr 10: Oubre (knee) has been ruled out for Friday's game against the Wizards.
Tyrese Maxey	PG	Oct 1	Out	Apr 3: Maxey (finger) is expected to miss the rest of the season, Shams Charania of ESPN reported Thursday.
