Player,Team,COLLEGE,COUNTRY,DRAFT.YEAR,DRAFT.ROUND,DRAFT.NUMBER,GP,PTS,REB,AST,NETRTG,W,L,Min,FGM,FGA,X3PM,X3PA,FTM,FTA,OREB,DREB,TOV,STL,BLK,PF,DD2,TD3,X...,Dist..Miles.Off,Dist..Miles.Def,Avg.Speed.Off,Avg.Speed.Def,Deflections,Loose.Balls.Recovered,Charges.Drawn,Contested.2PT.Shots,Contested.3PT.Shots,Travel,DOUBLE.DRIBBLE,DISC..DRIBBLE,OFF..3.SEC,INBOUND,BACK..COURT,OFF...GLTND,PALMING,OFF..FOUL,DEF...3.SEC,CHARGE,KICKED.BALL,blessure,age_cat,height_cat,weight_cat
Alex Caruso,OKC,Texas A&M,USA,Undrafted,Undrafted,Undrafted,54,7.1,2.9,2.5,15,44,10,19.3,2.6,5.8,1.1,3.1,0.8,0.9,0.7,2.2,0.7,1.6,0.6,1.9,0,0,5.9,0.8,0.74,4.78,4.09,3.5,0.5,0.15,1.4,1.7,1,0,0,0,0,0,0,0,3,0,0,2,Non blessé,joueur vétéran,moyen,léger
Alex Ducas,OKC,St.Mary's College of California,Australia,Undrafted,Undrafted,Undrafted,21,1.7,1.2,0.2,-6.7,20,1,6,0.6,1.4,0.5,1,0.1,0.1,0.4,0.8,0.2,0.2,0,0.6,0,0,-1,0.26,0.21,4.52,4.13,0.5,0.2,0,0.4,0.2,0,0,0,0,0,0,0,0,1,0,0,0,Non blessé,joueur mature,moyen,moyen
Alex Len,LAL,Maryland,Ukraine,2013,1,5,46,1.6,2.1,0.8,-17.5,21,25,8.3,0.7,1.4,0,0.2,0.2,0.4,0.8,1.2,0.4,0.2,0.5,1.2,0,0,-3.3,0.34,0.31,4.65,4.17,0.5,0.3,0,2.6,1,1,0,0,1,0,0,0,0,5,0,0,0,Non blessé,joueur vétéran,grand,lourd
Alex Reese,PHI,Alabama,USA,Undrafted,Undrafted,Undrafted,15,5.1,3.1,0.3,5.5,4,11,14.4,1.7,3.6,1,2.7,0.6,0.8,0.6,2.5,0.4,0.7,0.7,1.4,0,0,1.3,0.61,0.56,4.87,4.21,1,0.2,0.13,3.3,1.9,0,0,0,0,0,0,0,0,1,1,0,0,Non blessé,joueur mature,grand,lourd
Alex Sarr,WAS,None,France,2024,1,2,67,13,6.5,2.4,-13.7,13,54,27.1,4.9,12.4,1.6,5.1,1.7,2.5,1.9,4.6,1.7,0.7,1.5,2.2,10,0,-8.1,1.12,1,4.76,4.07,1.5,0.6,0,6.8,2.3,5,0,0,0,0,2,0,0,16,3,4,8,Non blessé,jeune joueur,grand,léger
Alondes Williams,DET,Wake Forest,USA,Undrafted,Undrafted,Undrafted,1,5,0,1,85.7,0,1,3.7,2,2,1,1,0,0,0,0,0,0,0,0,0,0,6,0.1,0.18,4.01,4.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Non blessé,joueur mature,moyen,moyen
Alperen Sengun,HOU,None,Turkey,2021,1,16,76,19.1,10.3,4.9,7.6,52,24,31.5,7.5,15,0.3,1.2,3.9,5.6,3.4,6.9,2.6,1.1,0.8,2.8,45,4,5.4,1.17,1.06,4.07,3.87,2.4,0.8,0.09,6.5,2.6,18,0,0,3,0,0,0,2,30,2,5,17,Non blessé,jeune joueur,grand,lourd
Amen Thompson,HOU,None,USA,2023,1,4,69,14.1,8.2,3.8,6.3,43,26,32.3,5.6,10.1,0.4,1.3,2.4,3.6,2.8,5.4,2,1.4,1.3,2.4,21,3,3.9,1.32,1.18,4.55,4.11,2.9,0.8,0.04,3.3,1.4,9,0,0,0,1,1,1,0,15,0,8,0,Non blessé,jeune joueur,moyen,léger
Amir Coffey,LAC,Minnesota,USA,Undrafted,Undrafted,Undrafted,72,9.7,2.2,1.1,-1.4,41,31,24.3,3.3,7.1,1.4,3.4,1.6,1.8,0.4,1.8,0.6,0.6,0.1,1.7,0,0,-0.9,0.9,0.85,4.04,3.96,1.1,0.3,0.04,1.2,1.2,3,0,0,0,0,1,0,0,5,0,0,1,Non blessé,joueur expérimenté,moyen,moyen
Andre Drummond,PHI,Connecticut,USA,2012,1,9,40,7.3,7.8,0.9,-15.5,12,28,18.8,2.9,5.9,0.1,0.5,1.4,2.3,2.7,5,1.4,1,0.5,2.4,5,0,-6.1,0.69,0.65,4.06,3.99,1.6,0.4,0,3.1,2,3,0,0,4,0,0,1,0,19,5,4,1,blessure bas,joueur vétéran,grand,lourd
Andre Jackson Jr.,MIL,Connecticut,USA,2023,2,36,67,3.4,2.7,1.2,-1.5,39,28,14.6,1.4,2.9,0.4,1.1,0.2,0.4,1,1.7,0.9,0.5,0.2,1.7,0,0,-0.5,0.66,0.59,5.01,4.65,1.2,0.4,0,1.1,0.7,4,0,0,0,0,0,1,0,9,0,0,4,Non blessé,joueur mature,moyen,moyen
Andrew Nembhard,IND,Gonzaga,Canada,2022,2,31,65,10,3.3,5,5.3,44,21,28.9,3.8,8.3,0.8,2.7,1.7,2.1,0.5,2.8,1.7,1.2,0.2,2.3,2,0,3.1,1.17,1.15,4.7,4.29,1.9,0.5,0.09,1.9,1.5,4,1,1,0,0,1,0,0,11,0,0,4,Non blessé,joueur mature,moyen,léger
Andrew Wiggins,MIA,Kansas,Canada,2014,1,1,60,18,4.5,2.6,-2.3,27,33,30.7,6.3,14,2.2,5.8,3.3,4.3,1.5,3,1.7,1,0.8,1.7,3,0,-1.7,1.22,1.06,4.51,3.84,1.5,0.6,0,3.2,3.3,3,0,0,0,0,1,1,0,7,0,3,0,Non blessé,joueur expérimenté,moyen,léger
Anfernee Simons,POR,None,USA,2018,1,24,70,19.3,2.7,4.8,-4.6,28,42,32.7,6.8,16.1,3.1,8.5,2.5,2.8,0.4,2.3,2,0.9,0.1,1.7,2,0,-3.1,1.35,1.14,4.68,3.87,1.2,0.5,0.04,1.4,1.6,1,3,0,0,0,0,0,1,5,0,4,2,blessure haut,joueur mature,petit,léger
Anthony Black,ORL,Arkansas,USA,2023,1,6,78,9.4,2.9,3.1,-0.9,39,39,24.2,3.4,7.9,0.8,2.5,1.9,2.5,0.7,2.3,1.8,1.1,0.6,2.1,1,0,-0.5,0.95,0.85,4.2,4,2.4,0.5,0.03,2.3,1.6,6,1,0,0,0,0,1,0,10,1,2,2,Non blessé,jeune joueur,moyen,léger
Anthony Davis,DAL,Kentucky,USA,2012,1,1,51,24.7,11.6,3.5,0.5,30,21,33.4,9.2,17.8,0.7,2.4,5.6,7.2,2.6,8.9,2.2,1.2,2.2,1.9,36,1,0.5,1.18,1.05,3.91,3.59,2.1,0.9,0.04,6.2,3.4,3,0,0,1,0,0,0,0,10,0,0,3,Non blessé,joueur vétéran,grand,lourd
Anthony Edwards,MIN,Georgia,USA,2020,1,1,79,27.6,5.7,4.5,4.8,48,31,36.3,9.1,20.4,4.1,10.3,5.3,6.3,0.8,4.9,3.2,1.2,0.6,1.9,7,0,3.7,1.41,1.14,4.3,3.54,2.1,0.6,0,1.8,1.5,7,0,3,0,1,4,1,0,12,0,6,4,Non blessé,joueur mature,moyen,moyen
Anthony Gill,WAS,Virginia,USA,Undrafted,Undrafted,Undrafted,51,2.5,1.3,0.3,-7.8,7,44,7.8,0.8,1.7,0.2,0.6,0.6,1,0.4,0.9,0.2,0.2,0,0.6,0,0,-1.4,0.32,0.29,4.54,4.08,0.5,0.3,0,1,1.1,0,0,0,0,0,0,0,0,2,0,0,1,blessure bas,joueur vétéran,grand,moyen
Anton Watson,NYK,Gonzaga,USA,2024,2,54,9,0.9,0.3,0.2,-15.3,5,4,2.5,0.4,1,0,0.1,0,0,0.1,0.2,0.2,0.1,0,0.3,0,0,-1,0.11,0.09,4.78,3.85,0.2,0,0,0.6,0.2,0,0,0,0,0,0,0,0,1,0,0,0,Non blessé,joueur mature,grand,moyen
Antonio Reeves,NOP,Kentucky,USA,2024,2,47,44,6.9,1.4,0.9,-10.2,6,38,15,2.6,5.6,1.2,2.9,0.6,0.8,0.4,1,0.7,0.5,0.1,0.9,0,0,-3.4,0.63,0.54,4.64,4.09,0.9,0.4,0,0.6,1.3,0,0,0,0,0,2,0,0,0,1,0,0,Non blessé,jeune joueur,moyen,léger
Ariel Hukporti,NYK,None,Germany,2024,2,58,25,1.9,2,0.4,-12.4,17,8,8.7,0.8,1.2,0,0,0.2,0.5,0.6,1.5,0.8,0,0.6,1.3,0,0,-2.5,0.36,0.33,4.56,4.27,0.5,0.3,0,2.9,1.1,0,0,0,0,0,0,0,0,4,0,0,3,Non blessé,joueur mature,grand,lourd
Armel Traoré,LAL,None,France,Undrafted,Undrafted,Undrafted,9,1.6,1.7,0.1,-37.3,5,4,7.4,0.7,2.1,0,0.8,0.2,0.8,0.2,1.4,0.3,0.4,0.2,0.7,0,0,-5.4,0.34,0.29,5.05,4.48,1.3,0,0,0.7,0.6,0,0,0,0,0,0,0,0,1,0,1,0,Non blessé,jeune joueur,grand,lourd
Ausar Thompson,DET,None,USA,2023,1,5,59,10.1,5.1,2.3,4,34,25,22.5,4.2,7.8,0.2,0.8,1.5,2.4,1.9,3.3,1.4,1.7,0.7,2.8,3,0,1.1,0.9,0.86,4.62,4.21,3.6,0.8,0.02,1.9,1.9,1,0,0,0,0,1,0,0,8,0,4,0,Non blessé,jeune joueur,moyen,léger
