Player Team Age Height Weight COLLEGE COUNTRY "DRAFT YEAR" "DRAFT ROUND" "DRAFT NUMBER" GP PTS REB AST NETRTG OREB% DREB% USG% TS% AST% W L Min PTS FGM FGA FG% 3PM 3PA 3P% FTM FTA FT% OREB DREB REB AST TOV STL BLK PF FP DD2 TD3 +/- Dist. Feet Dist. Miles Dist. Miles Off Dist. Miles Def Avg Speed Avg Speed Off Avg Speed Def "Screen Assists" "Screen Assists PTS" Deflections "OFF Loose Balls Recovered" "DEF Loose Balls Recovered" "Loose Balls Recovered" "% Loose Balls Recovered OFF" "% Loose Balls Recovered DEF" "Charges Drawn" "Contested 2PT Shots" "Contested 3PT Shots" "Contested Shots" Travel "DOUBLE DRIBBLE" "DISC. DRIBBLE" "OFF. 3 SEC" INBOUND "BACK- COURT" "OFF.  GLTND" PALMING "OFF. FOUL" "DEF.  3 SEC" CHARGE "DEF.  GLTND" LANE "JUMP BALL" "KICKED BALL"
"Dereck Lively II" DAL 21 7-1 230 Duke USA 2023 1 12 36.0 8.7 7.5 2.4 7.7 12.2 18.6 13.2 70.4 14.3 21 15 23.1 8.7 3.7 5.3 70.2 0.0 0.0 0.0 1.3 2.0 63.0 2.9 4.6 7.5 2.4 1.1 0.6 1.6 2.8 26.5 8.0 0.0 3.4 9450.4 1.79 0.93 0.86 4.37 4.59 4.15 2.7 6.4 1.5 0.3 0.0 0.4 92.3 7.7 0.00 7.1 2.1 9.2 3 0 0 1 0 0 0 0 9 4 0 6 0 0 3
"Derrick Jones Jr." LAC 28 6-6 210 UNLV USA Undrafted Undrafted Undrafted 77.0 10.1 3.4 0.8 6.7 5.1 9.2 16.0 60.9 4.4 48 29 24.3 10.1 4.0 7.6 52.6 1.0 2.8 35.6 1.1 1.5 70.3 1.2 2.2 3.4 0.8 0.9 1.0 0.4 2.0 18.9 0.0 0.0 3.2 9791.4 1.85 0.97 0.88 4.27 4.41 4.13 0.7 1.7 1.8 0.3 0.3 0.6 54.8 45.2 0.00 1.7 1.4 3.1 3 0 0 0 0 1 2 0 8 0 1 2 0 0 4
"Derrick White" BOS 30 6-4 190 Colorado USA 2017 1 29 76.0 16.4 4.5 4.8 10.2 2.5 10.1 19.5 60.6 19.9 58 18 33.9 16.4 5.6 12.6 44.2 3.5 9.1 38.4 1.8 2.1 83.9 0.9 3.6 4.5 4.8 1.7 0.9 1.1 1.8 33.2 4.0 0.0 7.1 12761.4 2.42 1.31 1.11 4.01 4.22 3.79 0.4 0.9 2.1 0.4 0.4 0.8 47.5 52.5 0.12 4.1 2.8 6.9 5 0 0 0 0 1 0 0 3 1 1 0 0 0 1
"Desmond Bane" MEM 26 6-5 215 TCU USA 2020 1 30 69.0 19.2 6.1 5.3 2.8 2.6 15.0 22.7 60.0 23.5 38 31 32.0 19.2 7.1 14.8 48.4 2.4 6.1 39.2 2.6 2.9 89.4 0.9 5.2 6.1 5.3 2.4 1.2 0.4 2.4 36.8 10.0 1.0 2.1 13243.2 2.51 1.35 1.16 4.46 4.97 3.97 0.2 0.4 1.8 0.4 0.4 0.7 49.0 51.0 0.00 2.1 1.9 3.9 16 0 0 0 0 1 0 0 19 1 3 0 0 0 1
"Devin Booker" PHX 28 6-6 206 Kentucky USA 2015 1 13 75.0 25.6 4.1 7.1 -3.2 2.8 8.0 28.5 58.9 30.1 35 40 37.3 25.6 8.7 18.9 46.1 2.4 7.3 33.2 5.8 6.4 89.4 1.0 3.1 4.1 7.1 2.9 0.9 0.2 2.6 41.5 16.0 0.0 -2.4 14000.7 2.65 1.49 1.16 4.00 4.33 3.65 0.4 0.8 1.5 0.5 0.3 0.8 58.3 41.7 0.03 1.9 1.5 3.4 10 0 0 0 0 2 0 1 16 2 5 1 0 0 4
"Devin Carter" SAC 23 6-2 195 Providence USA 2024 1 13 36.0 3.8 2.1 1.1 3.9 4.4 14.7 16.9 47.1 13.9 18 18 11.0 3.8 1.3 3.5 37.0 0.5 1.7 29.5 0.7 1.2 59.1 0.5 1.6 2.1 1.1 0.5 0.6 0.1 1.1 9.7 0.0 0.0 1.2 4768.2 0.90 0.48 0.43 4.57 4.59 4.55 0.0 0.0 1.1 0.2 0.1 0.3 66.7 33.3 0.06 0.8 0.9 1.7 0 0 0 0 0 0 0 0 3 1 2 0 0 0 0
"Devin Vassell" SAS 24 6-5 200 "Florida State" USA 2020 1 11 64.0 16.3 4.0 2.9 -6.2 1.6 10.7 21.7 55.3 13.9 24 40 31.0 16.3 6.2 13.9 44.3 2.5 6.7 36.8 1.5 1.9 79.2 0.5 3.5 4.0 2.9 1.4 1.3 0.5 1.7 29.4 2.0 0.0 -4.1 12509.4 2.37 1.28 1.09 4.29 4.68 3.91 0.1 0.2 2.2 0.3 0.3 0.6 45.7 54.3 0.00 1.9 1.4 3.3 7 0 0 0 0 2 0 0 7 0 3 5 0 0 2
"Dillon Brooks" HOU 29 6-6 225 Oregon Canada 2017 2 45 75.0 14.0 3.7 1.7 4.7 2.8 8.1 17.6 55.5 7.6 49 26 31.8 14.0 5.1 11.9 42.9 2.5 6.3 39.7 1.3 1.6 81.8 1.0 2.7 3.7 1.7 1.0 0.8 0.2 3.2 23.0 0.0 0.0 2.8 12064.1 2.28 1.17 1.12 4.02 4.06 3.98 0.7 1.5 1.9 0.1 0.2 0.3 42.9 57.1 0.05 2.1 1.7 3.8 5 0 0 0 0 1 0 0 16 0 9 0 1 0 3
"Dillon Jones" OKC 23 6-5 235 "Weber State" USA 2024 1 26 54.0 2.5 2.2 1.1 6.0 5.0 15.3 13.1 46.4 14.3 45 9 10.2 2.5 0.9 2.5 38.3 0.3 1.2 25.4 0.3 0.5 60.7 0.6 1.7 2.2 1.1 0.5 0.3 0.1 1.0 7.4 1.0 0.0 1.4 4167.6 0.79 0.42 0.36 4.29 4.59 3.99 0.3 0.6 1.0 0.1 0.1 0.3 46.2 53.8 0.00 0.7 0.6 1.3 1 0 0 0 0 0 0 0 2 3 0 0 0 0 0
"Domantas Sabonis" SAC 28 6-10 240 Gonzaga Lithuania 2016 1 11 70.0 19.1 13.9 6.0 2.6 11.0 28.6 21.3 65.5 25.1 36 34 34.7 19.1 7.5 12.8 59.0 0.9 2.2 41.7 3.1 4.1 75.4 3.8 10.1 13.9 6.0 2.9 0.7 0.4 3.3 45.1 61.0 10.0 2.1 13694.0 2.59 1.36 1.23 4.20 4.51 3.92 5.9 13.3 1.8 0.4 0.3 0.7 57.4 42.6 0.00 5.6 1.7 7.3 8 1 0 2 0 1 1 0 42 2 6 1 0 0 3
"Dominick Barlow" ATL 21 6-8 215 None USA Undrafted Undrafted Undrafted 35.0 4.2 2.4 0.5 -1.6 9.1 13.9 14.1 58.0 7.0 13 22 10.7 4.2 1.7 3.2 53.1 0.2 0.8 25.9 0.6 0.9 63.6 1.0 1.4 2.4 0.5 0.1 0.3 0.5 1.3 10.0 1.0 0.0 -0.1 4678.4 0.89 0.46 0.42 4.58 5.08 4.12 1.4 3.1 0.9 0.1 0.2 0.3 36.4 63.6 0.00 2.9 1.1 4.0 1 0 0 0 0 0 0 0 1 2 0 1 0 0 2
"Donovan Clingan" POR 21 7-2 280 Connecticut USA 2024 1 7 67.0 6.5 7.9 1.1 0.2 14.4 21.8 13.5 57.4 8.1 29 38 19.8 6.5 2.7 5.0 53.9 0.2 0.7 28.6 0.9 1.6 59.6 3.2 4.6 7.9 1.1 1.1 0.5 1.6 2.8 23.0 8.0 0.0 0.0 7785.1 1.47 0.77 0.70 4.20 4.45 3.95 2.7 6.4 1.1 0.1 0.1 0.2 56.3 43.8 0.00 7.3 2.4 9.7 3 0 0 1 0 1 0 0 24 4 0 4 0 0 1
"Donovan Mitchell" CLE 28 6-3 215 Louisville USA 2017 1 13 71.0 24.0 4.5 5.0 10.5 2.5 11.2 29.8 57.5 23.8 55 16 31.4 24.0 8.2 18.6 44.3 3.3 8.9 36.8 4.2 5.1 82.3 0.8 3.7 4.5 5.0 2.1 1.3 0.2 2.0 39.5 6.0 0.0 7.4 11939.7 2.26 1.22 1.04 4.02 4.58 3.51 0.2 0.4 2.4 0.4 0.4 0.8 50.0 50.0 0.04 1.2 1.6 2.8 7 0 0 0 1 2 0 0 8 3 3 0 0 0 2
"Donte DiVincenzo" MIN 28 6-4 203 Villanova USA 2018 1 17 62.0 11.7 3.7 3.6 5.1 2.0 11.5 18.8 58.2 20.3 37 25 25.9 11.7 4.0 9.6 42.2 2.8 7.1 39.7 0.8 1.0 77.8 0.5 3.2 3.7 3.6 1.6 1.2 0.3 1.8 24.3 1.0 0.0 2.8 10457.0 1.98 1.06 0.92 4.26 4.64 3.89 0.3 0.9 2.5 0.2 0.4 0.6 33.3 66.7 0.03 1.3 1.4 2.7 1 0 0 0 0 0 0 0 5 0 3 0 0 0 2
"Dorian Finney-Smith" LAL 31 6-7 220 Florida USA Undrafted Undrafted Undrafted 63.0 8.7 3.9 1.4 8.8 4.7 8.9 12.3 60.4 6.6 36 27 28.9 8.7 3.1 6.9 44.8 2.0 5.0 41.1 0.5 0.7 66.7 1.3 2.7 3.9 1.4 0.9 0.9 0.4 2.2 18.5 0.0 0.0 4.9 11371.8 2.15 1.14 1.01 4.17 4.32 4.02 1.0 2.4 1.6 0.2 0.3 0.4 39.3 60.7 0.02 2.9 1.6 4.5 7 0 0 0 0 0 0 0 5 1 1 1 0 0 3
"Doug McDermott" SAC 33 6-6 225 Creighton USA 2014 1 11 42.0 3.5 0.5 0.2 1.6 0.9 5.4 15.0 61.7 2.8 21 21 8.1 3.5 1.2 2.8 42.7 1.0 2.4 43.6 0.1 0.1 60.0 0.1 0.5 0.5 0.2 0.1 0.1 0.0 0.7 4.7 0.0 0.0 0.6 3470.4 0.66 0.35 0.30 4.50 4.97 4.04 0.3 0.5 0.3 0.0 0.0 0.0 0.0 0.0 0.00 0.9 0.9 1.8 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1
"Draymond Green" GSW 35 6-6 230 "Michigan State" USA 2012 2 35 68.0 9.0 6.1 5.6 6.6 3.6 16.8 15.7 53.4 25.5 42 26 29.2 9.0 3.2 7.5 42.4 1.2 3.6 32.5 1.5 2.2 68.7 1.1 5.0 6.1 5.6 2.6 1.5 1.0 3.2 29.7 6.0 1.0 4.0 10736.0 2.03 1.09 0.95 3.91 4.26 3.57 1.8 4.8 2.6 0.3 0.3 0.7 48.9 51.1 0.21 5.5 3.6 9.1 1 0 0 0 0 0 0 0 19 3 1 0 0 0 4
"Drew Eubanks" LAC 28 6-10 245 "Oregon State" USA Undrafted Undrafted Undrafted 61.0 4.6 3.7 0.9 -8.1 7.8 21.1 14.9 62.2 11.0 25 36 12.2 4.6 1.9 3.2 59.3 0.0 0.1 50.0 0.8 1.2 66.2 1.0 2.7 3.7 0.9 0.7 0.2 0.6 1.0 12.2 0.0 0.0 -2.1 5057.8 0.96 0.52 0.44 4.36 4.59 4.14 1.6 4.0 0.7 0.1 0.0 0.2 77.8 22.2 0.02 2.6 1.0 3.6 3 0 0 0 0 0 0 0 7 0 0 1 0 0 0
"Drew Peterson" BOS 25 6-9 205 "Southern California" USA Undrafted Undrafted Undrafted 25.0 2.2 1.6 0.5 12.8 5.1 16.1 12.1 60.1 9.5 17 8 7.4 2.2 0.7 1.6 41.5 0.5 1.3 39.4 0.3 0.4 77.8 0.4 1.2 1.6 0.5 0.3 0.2 0.1 0.7 5.4 0.0 0.0 1.8 2992.7 0.57 0.31 0.26 4.21 4.28 4.08 0.2 0.4 0.9 0.0 0.2 0.2 0.0 100 0.00 0.5 0.5 1.0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Drew Timme" BKN 24 6-10 235 Gonzaga USA Undrafted Undrafted Undrafted 9.0 12.1 7.2 2.2 -12.6 6.0 19.4 20.5 50.0 13.7 3 6 28.2 12.1 5.0 11.3 44.1 1.0 3.9 25.7 1.1 1.8 62.5 1.9 5.3 7.2 2.2 1.7 0.4 0.1 2.3 24.1 3.0 0.0 -7.3 11645.8 2.21 1.18 1.03 4.38 4.61 4.14 1.1 2.8 1.0 0.1 0.2 0.3 33.3 66.7 0.22 3.4 2.4 5.9 0 0 0 0 0 0 0 0 4 1 0 0 0 0 1
"Dru Smith" MIA 27 6-2 203 Missouri USA Undrafted Undrafted Undrafted 14.0 6.2 2.6 1.6 6.8 4.2 8.6 13.1 65.6 12.8 8 6 19.2 6.2 2.2 4.4 50.8 1.1 2.1 53.3 0.6 0.9 75.0 0.9 1.7 2.6 1.6 1.2 1.5 0.4 2.1 16.3 0.0 0.0 2.7 7977.5 1.51 0.78 0.73 4.37 4.55 4.20 0.2 0.6 3.3 0.3 0.4 0.7 40.0 60.0 0.29 1.7 1.4 3.1 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0
"Duncan Robinson" MIA 31 6-7 215 Michigan USA Undrafted Undrafted Undrafted 74.0 11.0 2.3 2.4 0.2 1.0 8.4 18.7 59.5 14.8 30 44 24.1 11.0 3.9 9.0 43.7 2.6 6.5 39.3 0.6 0.7 88.7 0.2 2.0 2.3 2.4 1.2 0.5 0.1 1.8 18.0 0.0 0.0 0.9 10014.3 1.90 1.06 0.84 4.40 4.90 3.90 0.7 1.6 1.4 0.1 0.2 0.3 31.6 68.4 0.11 1.5 1.3 2.8 5 0 0 0 0 0 0 0 6 0 0 0 2 0 3
"Duop Reath" POR 28 6-9 245 "Louisiana State" "South Sudan" Undrafted Undrafted Undrafted 46.0 4.2 2.0 0.6 -6.5 8.2 11.1 16.2 55.2 8.3 19 27 10.2 4.2 1.5 3.6 42.2 0.7 2.3 32.1 0.4 0.5 90.9 1.0 1.0 2.0 0.6 0.3 0.3 0.3 0.9 8.8 0.0 0.0 -1.2 4111.7 0.78 0.40 0.38 4.23 4.40 4.08 1.0 2.5 0.5 0.1 0.1 0.2 62.5 37.5 0.00 3.0 1.1 4.1 0 0 0 0 0 0 1 0 2 1 1 0 0 0 1
"Dwight Powell" DAL 33 6-10 240 Stanford Canada 2014 2 45 55.0 2.1 2.1 1.0 -1.1 8.4 13.1 7.3 71.3 13.0 25 30 10.0 2.1 0.8 1.1 68.9 0.0 0.1 40.0 0.5 0.8 65.1 0.9 1.3 2.1 1.0 0.3 0.3 0.4 1.4 7.9 0.0 0.0 -0.3 4224.3 0.80 0.41 0.39 4.46 4.68 4.25 1.6 3.6 0.9 0.2 0.1 0.2 72.7 27.3 0.06 3.0 1.1 4.0 0 0 0 0 0 0 0 0 8 0 1 0 0 0 1
"Dyson Daniels" ATL 22 6-7 199 None Australia 2022 1 8 76.0 14.1 5.9 4.4 -0.9 4.6 12.7 17.8 54.5 17.4 37 39 33.8 14.1 6.0 12.1 49.3 1.1 3.1 34.0 1.1 1.8 59.3 1.6 4.3 5.9 4.4 2.0 3.0 0.7 2.3 37.0 9.0 0.0 -0.9 14263.0 2.70 1.42 1.29 4.49 4.95 4.07 0.4 1.0 5.8 0.5 0.6 1.1 46.3 53.8 0.00 3.2 2.9 6.1 5 0 0 0 0 3 1 0 9 0 4 2 0 0 5
"E.J. Liddell" CHI 24 6-6 240 "Ohio State" USA 2022 2 41 12.0 1.8 0.8 0.3 -8.6 6.5 10.2 13.0 66.1 6.4 6 6 4.4 1.8 0.7 1.3 53.3 0.3 0.8 30.0 0.2 0.2 100 0.3 0.5 0.8 0.3 0.2 0.1 0.1 0.9 3.4 0.0 0.0 -0.7 1827.6 0.35 0.19 0.16 4.36 5.00 3.62 0.4 0.9 0.3 0.1 0.0 0.1 100 0.0 0.00 1.3 0.4 1.6 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0
"Elfrid Payton" NOP 31 6-3 195 Louisana-Lafayette USA 2014 1 10 24.0 3.5 3.3 6.9 -13.4 2.7 11.4 15.1 34.0 44.3 3 21 21.3 3.5 1.7 5.1 32.8 0.0 0.3 16.7 0.2 0.3 57.1 0.6 2.7 3.3 6.9 2.5 1.0 0.5 1.5 19.8 2.0 0.0 -6.2 8475.6 1.61 0.84 0.76 4.24 4.49 4.01 0.2 0.6 1.8 0.1 0.0 0.1 66.7 33.3 0.00 1.2 0.7 1.9 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"Elijah Harkless" UTA 25 6-3 195 UNLV USA Undrafted Undrafted Undrafted 10.0 3.2 2.1 0.8 9.7 5.8 9.2 12.0 42.5 7.3 1 9 13.8 3.2 1.1 3.5 31.4 0.7 2.5 28.0 0.3 0.6 50.0 0.9 1.2 2.1 0.8 0.3 1.0 0.1 1.8 9.9 0.0 0.0 3.1 5478.9 1.04 0.53 0.51 4.17 4.13 4.22 0.3 0.6 2.0 0.3 0.3 0.5 50.0 50.0 0.13 1.1 1.3 2.4 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"Emanuel Miller" CHI 24 6-7 215 TCU Canada Undrafted Undrafted Undrafted 6.0 1.7 1.3 0.3 -10.0 16.7 13.8 14.3 56.3 10.5 4 2 4.1 1.7 0.7 1.3 50.0 0.0 0.2 0.0 0.3 0.3 100 0.7 0.7 1.3 0.3 0.0 0.2 0.0 0.5 4.3 0.0 0.0 -1.3 1711.7 0.32 0.16 0.16 4.20 4.81 4.08 0.0 0.0 0.3 0.0 0.0 0.0 0.0 0.0 0.00 0.3 0.7 1.0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Emoni Bates" CLE 21 6-8 202 "Eastern Michigan" USA 2023 2 49 10.0 3.7 0.7 0.8 -21.5 0.0 7.5 20.1 48.7 20.0 9 1 7.5 3.7 1.3 3.8 34.2 1.1 3.0 36.7 0.0 0.0 0.0 0.0 0.7 0.7 0.8 0.2 0.1 0.1 0.4 6.1 0.0 0.0 -3.4 3082.9 0.58 0.33 0.25 4.25 4.37 4.09 0.5 1.3 0.3 0.2 0.0 0.2 100 0.0 0.00 1.0 0.3 1.3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Enrique Freeman" IND 24 6-7 220 Akron USA 2024 2 50 22.0 2.1 1.4 0.4 -6.3 5.4 10.6 10.9 50.7 6.2 7 15 8.2 2.1 0.7 1.7 43.2 0.0 0.5 10.0 0.6 0.9 68.4 0.5 0.9 1.4 0.4 0.3 0.1 0.1 1.0 4.9 0.0 0.0 -0.9 3718.4 0.70 0.37 0.34 4.64 4.89 4.40 0.6 1.2 0.4 0.1 0.0 0.1 100 0.0 0.00 1.5 1.1 2.6 0 0 0 0 0 0 0 0 1 1 0 2 0 0 0
"Eric Gordon" PHI 36 6-3 215 Indiana USA 2008 1 7 39.0 6.8 1.2 1.7 -5.4 1.1 5.2 14.0 59.1 11.8 12 27 19.7 6.8 2.2 5.2 42.6 1.4 3.5 40.9 0.9 1.2 75.0 0.2 1.0 1.2 1.7 0.7 0.7 0.3 0.8 12.9 0.0 0.0 -1.8 7097.3 1.34 0.74 0.61 3.78 4.01 3.54 0.3 0.8 1.4 0.1 0.1 0.3 50.0 50.0 0.00 0.7 1.0 1.7 2 0 0 0 0 0 0 0 2 0 2 0 0 0 1
"Evan Mobley" CLE 23 6-11 215 "Southern California" USA 2021 1 3 71.0 18.5 9.3 3.2 11.9 7.6 21.3 22.6 63.3 14.9 58 13 30.5 18.5 7.1 12.8 55.7 1.2 3.2 37.0 3.1 4.3 72.5 2.3 7.0 9.3 3.2 2.0 0.9 1.6 2.0 39.8 37.0 0.0 7.7 12177.9 2.31 1.21 1.09 4.22 4.70 3.80 2.3 5.5 1.7 0.5 0.3 0.8 61.4 38.6 0.00 7.2 3.2 10.4 20 0 0 1 0 0 2 0 14 4 5 1 0 0 4
"Franz Wagner" ORL 23 6-10 220 Michigan Germany 2021 1 8 60.0 24.2 5.7 4.7 6.0 2.7 14.6 30.6 55.8 24.7 33 27 33.7 24.2 9.0 19.4 46.3 1.7 5.9 29.5 4.5 5.2 87.1 0.9 4.8 5.7 4.7 2.3 1.3 0.4 2.5 40.6 3.0 0.0 4.1 14117.8 2.67 1.50 1.18 4.43 4.84 4.01 0.3 0.8 2.2 0.2 0.4 0.6 34.2 65.8 0.08 2.4 1.9 4.3 10 0 0 0 0 1 1 2 7 0 4 0 0 0 10
"Fred VanVleet" HOU 31 6-0 197 "Wichita State" USA Undrafted Undrafted Undrafted 60.0 14.1 3.7 5.6 6.2 1.4 8.9 17.6 51.5 21.7 41 19 35.2 14.1 4.8 12.7 37.8 2.7 7.7 34.5 1.9 2.3 81.0 0.5 3.2 3.7 5.6 1.5 1.6 0.4 2.3 31.3 4.0 0.0 4.4 13525.1 2.56 1.42 1.14 4.08 4.44 3.71 0.7 1.6 3.0 0.3 0.4 0.8 42.2 57.8 0.02 1.1 1.6 2.8 0 0 0 0 0 0 0 0 11 0 1 0 0 0 1
"Gabe Vincent" LAL 28 6-2 200 "California-Santa Barbara" USA Undrafted Undrafted Undrafted 72.0 6.4 1.3 1.4 1.1 1.3 4.5 13.1 53.6 9.0 46 26 21.2 6.4 2.3 5.8 40.0 1.5 4.3 35.3 0.2 0.3 71.4 0.3 1.0 1.3 1.4 0.6 0.7 0.2 2.1 12.1 0.0 0.0 0.7 8502.1 1.61 0.87 0.74 4.23 4.46 3.98 0.3 0.6 1.4 0.2 0.3 0.4 40.0 60.0 0.17 1.6 1.2 2.9 1 0 0 0 0 0 0 0 9 0 1 0 0 0 6
"Garrett Temple" TOR 38 6-5 195 "Louisiana State" USA Undrafted Undrafted Undrafted 28.0 1.9 1.0 1.1 -4.5 3.6 9.0 12.9 40.6 17.1 11 17 8.1 1.9 0.6 2.1 30.0 0.2 1.0 21.4 0.4 0.4 91.7 0.3 0.7 1.0 1.1 0.4 0.6 0.1 0.8 6.5 0.0 0.0 -1.0 3375.9 0.64 0.34 0.30 4.36 4.71 4.03 0.2 0.4 2.0 0.1 0.1 0.2 50.0 50.0 0.05 0.9 0.7 1.6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Garrison Mathews" ATL 28 6-6 215 Lipscomb USA Undrafted Undrafted Undrafted 47.0 7.5 1.9 1.3 -3.5 1.5 8.5 15.3 60.6 10.2 21 26 17.6 7.5 2.2 5.5 39.7 1.8 4.6 39.0 1.4 1.7 82.1 0.3 1.6 1.9 1.3 0.7 0.6 0.3 1.7 13.6 0.0 0.0 -1.3 7369.4 1.40 0.74 0.66 4.40 4.82 4.02 0.2 0.4 1.1 0.2 0.1 0.3 66.7 33.3 0.24 1.6 1.4 3.0 2 0 0 0 0 0 0 0 2 0 0 0 0 0 1
"Gary Harris" ORL 30 6-4 210 "Michigan State" USA 2014 1 19 48.0 3.0 1.3 0.6 7.2 2.6 6.3 9.0 52.4 5.8 28 20 14.8 3.0 1.1 2.8 38.3 0.8 2.1 35.6 0.1 0.3 58.3 0.4 0.9 1.3 0.6 0.4 0.5 0.3 0.9 7.6 0.0 0.0 1.8 6080.3 1.15 0.60 0.55 4.33 4.35 4.30 0.3 0.8 1.6 0.2 0.1 0.4 62.5 37.5 0.00 0.6 0.8 1.4 2 0 0 0 0 1 0 0 1 0 0 1 0 0 2
"Gary Payton II" GSW 32 6-2 195 "Oregon State" USA Undrafted Undrafted Undrafted 62.0 6.5 3.0 1.3 3.4 5.6 13.4 15.6 63.5 13.2 36 26 15.0 6.5 2.8 4.8 57.4 0.5 1.5 32.6 0.4 0.6 71.1 0.9 2.1 3.0 1.3 0.6 0.8 0.3 1.7 14.8 0.0 0.0 0.7 6786.0 1.29 0.65 0.63 4.80 5.09 4.54 0.6 1.4 2.1 0.3 0.3 0.6 54.5 45.5 0.00 1.0 0.8 1.8 2 0 0 0 0 0 0 0 13 0 2 0 0 0 0
"Gary Trent Jr." MIL 26 6-5 204 Duke USA 2018 2 37 74.0 11.1 2.3 1.2 1.9 1.1 7.4 16.8 59.1 6.4 44 30 25.6 11.1 3.8 8.9 43.1 2.4 5.9 41.6 1.1 1.2 84.8 0.3 2.0 2.3 1.2 0.6 1.0 0.1 1.7 18.1 0.0 0.0 0.9 9663.2 1.83 0.92 0.91 4.00 4.09 3.92 0.1 0.3 2.2 0.1 0.2 0.3 36.8 63.2 0.00 0.5 1.0 1.5 3 0 0 1 0 1 0 0 8 0 2 0 1 0 2
"Georges Niang" ATL 31 6-7 230 "Iowa State" USA 2016 2 50 79.0 9.9 3.4 1.4 4.7 2.7 12.6 17.7 60.7 8.7 55 24 21.5 9.9 3.6 7.8 46.1 2.1 5.2 40.6 0.6 0.7 79.3 0.6 2.8 3.4 1.4 1.0 0.4 0.2 2.5 16.7 1.0 0.0 2.5 8795.3 1.67 0.88 0.78 4.31 4.81 3.86 1.0 2.4 1.0 0.2 0.2 0.4 58.6 41.4 0.04 1.6 1.3 2.9 9 0 0 0 0 1 0 0 10 4 4 0 0 0 1
"GG Jackson" MEM 20 6-9 210 "South Carolina" USA 2023 2 45 29.0 7.2 3.2 1.0 -5.9 5.5 13.0 21.9 48.2 8.5 19 10 15.8 7.2 2.6 6.9 37.2 1.1 3.3 33.7 1.0 1.4 72.5 0.9 2.2 3.2 1.0 1.1 0.4 0.2 1.0 13.2 0.0 0.0 -2.3 6611.4 1.25 0.65 0.60 4.42 4.83 4.05 0.2 0.4 0.9 0.3 0.1 0.4 70.0 30.0 0.00 1.7 1.2 2.9 5 0 0 0 0 0 1 0 1 0 1 3 0 0 0
"Giannis Antetokounmpo" MIL 30 6-11 243 None Greece 2013 1 15 67.0 30.4 11.9 6.5 7.2 6.7 26.6 34.6 62.5 33.9 40 27 34.2 30.4 11.8 19.7 60.1 0.2 0.9 22.2 6.5 10.6 61.7 2.2 9.7 11.9 6.5 3.1 0.9 1.2 2.3 57.4 55.0 11.0 5.0 12812.4 2.43 1.33 1.10 4.00 4.43 3.58 2.1 5.1 1.6 0.5 0.2 0.7 71.7 28.3 0.00 2.9 2.4 5.3 26 1 0 1 0 3 1 3 32 1 13 7 1 0 3
"Goga Bitadze" ORL 25 6-10 250 None Georgia 2019 1 18 70.0 7.2 6.6 2.0 2.7 11.6 22.7 14.2 63.1 14.2 38 32 20.4 7.2 3.0 4.8 61.1 0.0 0.4 10.7 1.2 1.9 63.9 2.4 4.2 6.6 2.0 1.0 0.7 1.4 2.1 23.3 15.0 0.0 1.1 7925.2 1.50 0.80 0.70 4.11 4.24 3.97 2.4 5.3 1.7 0.2 0.2 0.4 46.2 53.8 0.00 4.4 2.0 6.3 7 0 0 0 0 1 4 0 19 1 4 17 0 0 1
"Gradey Dick" TOR 21 6-6 200 Kansas USA 2023 1 13 54.0 14.4 3.6 1.8 -5.8 2.7 9.2 20.9 54.3 8.7 15 39 29.4 14.4 4.9 12.0 41.0 2.1 6.0 35.0 2.5 2.9 85.8 0.8 2.8 3.6 1.8 1.5 0.9 0.2 2.2 23.1 0.0 0.0 -3.9 12735.6 2.41 1.25 1.17 4.59 4.89 4.30 0.3 0.7 2.0 0.3 0.3 0.6 48.5 51.5 0.11 0.8 1.1 1.9 1 0 0 0 0 0 0 0 7 0 4 1 1 0 5
"Grant Williams" CHA 26 6-6 236 Tennessee USA 2019 1 22 16.0 10.4 5.1 2.3 1.6 3.5 13.4 14.6 59.6 10.7 6 10 29.9 10.4 3.4 7.7 43.9 1.7 4.6 36.5 1.9 2.3 83.8 1.1 4.0 5.1 2.3 1.8 1.1 0.8 2.9 24.1 0.0 0.0 0.6 11004.6 2.08 1.14 0.95 3.87 4.15 3.61 2.4 6.3 1.6 0.3 0.4 0.7 36.4 63.6 0.31 5.1 2.6 7.8 2 0 0 0 0 0 0 0 7 1 0 1 0 0 2
