"Lessives","Deodorants","EauDeToilette","ProdSoinCheveux","ProdSoinVisage","VernisOngleDissolv","NbPieceAvecProduitsChim","NettoyantDeSurface","AutreNettoyants","DesodoAreosolVaporisateur","DesodoAutreEnsens","InsecticideAerosol","InsecticidePoudreBlocGel","NettoySolAspiration","NettoySolBalaiSerp","NettoyAutreQueSol","CuissonFourTraditionnel","CuissonALeau","CuissonALaVapeur","CuissonParFriture","CuissonParGrillade","VoitureDansGarage","Fumeurs","SechageLingeDansLogement","UtiliseSecheLinge","NettASecVetements","PersExtPourMenage","TapisDescenteLitNeuf","NettASecTapisTissusmeuble","Plantes","Chiens","Chats","TraitementParasitesAnimaux","HamsterCochonLapin","InsecticideBlatteFourmie","SortirOrduresExterieur","OrduresDansPiece","EndroitStockageOrdures","Bricolage","Jardinage","ProtMatelSimple","ProtMatelImperm","ProtMatelAntiAcariens","outcome.Formldehyde","outcome.acetaldehyde","outcome.acroleine","outcome.hexaldehyde","outcome.benzene","outcome.1methoxy2propanol","outcome.trichloroethylene","outcome.toluene","outcome.tetrachloroethylene","outcome.styrene","outcome.2butoxyethanol","outcome.124trimethylbenzene","outcome.14dichlorobenzene","outcome.ndecane","outcome.Formldehyde.log","outcome.ac taldehyde.log","outcome.acroleine.log","outcome.hexaldehyde.log","outcome.benzene.log","outcome.1methoxy2propanol.log","outcome.trichloroethylene.log","outcome.toluene.log","outcome.t trachloroethylene.log","outcome.styrene.log","outcome.2butoxyethanol.log","outcome.124trimethylbenzene.log","outcome.14dichlorobenzene.log","outcome.ndecane.log"
3.5,7,14,1,7,0,1,3.5,0,7,3.5,0,0,3.5,3.5,0,3.5,3.5,0,1,1,"4","fum_2","SechLingInt_non","SechLingUtil_5","non","AideMen_non","TapisNeuf_non","NetSecTapis_non","plantes_2","Chien_non","Chat_non","TttParAnimal_non","HamLap_non","InsectFourmi_non","OrdureSortie_2","OrdurePiece_oui","OrdureStock_autre","Brico1","Jardin1","HousseMat_non","HousseMatImper_non","HousseMatAntiAc_oui",15.16,3.44,0.26,3.22,0.67,0,0.09,4.16,0.18,0.12,0.15,0.49,0.23,0.26,2.78253905309295,1.49065437644413,0.231111720963387,1.43983512804792,0.512823626428664,0,0.0861776962410524,1.64093657949347,0.165514438477573,0.113328685307003,0.139761942375159,0.398776119957368,0.207014169384326,0.231111720963387
7,7,8,0.5,7,0,0,0,0,0,0,0,0,1,0,0,3.5,0,7,0,0,"4","fum_3","SechLingInt_non","SechLingUtil_5","non","AideMen_non","TapisNeuf_non","NetSecTapis_non","plantes_2","Chien_non","Chat_non","TttParAnimal_non","HamLap_non","InsectFourmi_non","OrdureSortie_2","OrdurePiece_oui","OrdureStock_meuble","Brico4","Jardin2","HousseMat_non","HousseMatImper_non","HousseMatAntiAc_oui",5.05,4.92,0.26,1.32,0.44,0.24,0.09,3.56,0.21,0.19,0.15,0.26,133.7,0.98,1.80005827204275,1.77833644889591,0.231111720963387,0.841567185678219,0.364643113587909,0.215111379616945,0.0861776962410524,1.51732262352629,0.19062035960865,0.173953307123438,0.139761942375159,0.231111720963387,4.90305008341632,0.683096844706444
3.5,14,7,1,7,0.5,1,3.5,3.5,0,14,1,3.5,0,7,0,1,3.5,0,0,1,"4","fum_1","SechLingInt_non","SechLingUtil_5","non","AideMen_non","TapisNeuf_non","NetSecTapis_non","plantes_1","Chien_non","Chat_non","TttParAnimal_non","HamLap_non","InsectFourmi_non","OrdureSortie_3","OrdurePiece_oui","OrdureStock_poubcouv","Brico3","Jardin1","HousseMat_non","HousseMatImper_non","HousseMatAntiAc_oui",31.88,5.03,0.31,4.1,0.17,0.87,0.09,10.14,0.09,0.38,0.6,0.57,0.91,0.81,3.49286457018798,1.79674701073909,0.27002713721306,1.62924053973028,0.157003748809665,0.625938430866495,0.0861776962410524,2.41054223449914,0.0861776962410524,0.322083499169113,0.470003629245736,0.451075619360217,0.647103242058539,0.593326845277734
1.5,7,10.5,0,14,1,0,3.5,1,7,0,0,0,1,3.5,1,1,7,7,0,0,"4","fum_1","SechLingInt_oui","SechLingUtil_5","non","AideMen_non","TapisNeuf_non","NetSecTapis_non","plantes_1","Chien_non","Chat_non","TttParAnimal_non","HamLap_non","InsectFourmi_non","OrdureSortie_2","OrdurePiece_oui","OrdureStock_meuble","Brico3","Jardin1","HousseMat_non","HousseMatImper_non","HousseMatAntiAc_oui",13.3,5.64,0.26,1,3.28,0.24,0.21,26.08,0.42,0.57,0.93,5.29,3.55,12.23,2.66025953726586,1.89311196348834,0.231111720963387,0.693147180559945,1.45395300959371,0.215111379616945,0.19062035960865,3.29879544804407,0.350656871613169,0.451075619360217,0.657520002916794,1.83896107071235,1.51512723296286,2.58248697812686
3.5,7,8,3.5,7,0,0,3.5,0,7,3.5,0,0,0,3.5,7,7,3.5,3.5,0,0,"4","fum_1","SechLingInt_oui","SechLingUtil_5","non","AideMen_non","TapisNeuf_non","NetSecTapis_non","plantes_2","Chien_oui","Chat_non","TttParAnimal_non","HamLap_non","InsectFourmi_non","OrdureSortie_3","OrdurePiece_oui","OrdureStock_poubcouv","Brico2","Jardin1","HousseMat_non","HousseMatImper_non","HousseMatAntiAc_oui",4.05,2.6,0.22,0.85,1.39,2.44,1.17,4.19,2.24,0.26,0.56,0.95,0.37,0.61,1.61938824328727,1.28093384546206,0.198850858745165,0.615185639090233,0.871293365943419,1.23547147138531,0.774727167552368,1.6467336971778,1.17557332980424,0.231111720963387,0.444685821261446,0.667829372575655,0.314810739840034,0.476234178996372
7,21,14,1,21,1.5,1,7,7,7,0,0,0,3.5,7,0,3.5,3.5,0,0,0,"4","fum_1","SechLingInt_non","SechLingUtil_2","non","AideMen_non","TapisNeuf_non","NetSecTapis_non","plantes_2","Chien_oui","Chat_oui","TttParAnimal_oui","HamLap_oui","InsectFourmi_non","OrdureSortie_3","OrdurePiece_oui","OrdureStock_meuble","Brico1","Jardin4","HousseMat_oui","HousseMatImper_oui","HousseMatAntiAc_oui",20.14,6.4,0.43,5.6,0.59,4.65,0.2,3.06,0.23,0.3,0.15,0.82,1.16,0.54,3.05116698044209,2.00148000021012,0.357674444271816,1.88706964903238,0.46373401623214,1.73165554515835,0.182321556793955,1.40118297361364,0.207014169384326,0.262364264467491,0.139761942375159,0.598836501088704,0.770108221696074,0.431782416425538
3.5,21,14,1,10.5,0,1,3.5,1,3.5,14,0,0,3.5,3.5,3.5,3.5,3.5,3.5,0,3.5,"4","fum_1","SechLingInt_oui","SechLingUtil_5","non","AideMen_non","TapisNeuf_non","NetSecTapis_non","plantes_3","Chien_oui","Chat_non","TttParAnimal_non","HamLap_non","InsectFourmi_non","OrdureSortie_3","OrdurePiece_oui","OrdureStock_autre","Brico1","Jardin1","HousseMat_oui","HousseMatImper_oui","HousseMatAntiAc_oui",29.36,24.71,1.12,6.78,0.51,0.59,0.09,3.53,0.29,0.56,0.43,0.85,0.78,3.98,3.41312595252743,3.2468800212778,0.751416088683921,2.0515563381903,0.412109650826833,0.46373401623214,0.0861776962410524,1.51072193949494,0.254642218373581,0.444685821261446,0.357674444271816,0.615185639090233,0.576613364303994,1.60542989103656
7,7,7,7,7,0.5,0,3.5,0,0,14,0,3.5,3.5,3.5,1,0,3.5,0,3.5,1,"4","fum_2","SechLingInt_non","SechLingUtil_5","non","AideMen_non","TapisNeuf_oui","NetSecTapis_non","plantes_3","Chien_non","Chat_non","TttParAnimal_non","HamLap_non","InsectFourmi_non","OrdureSortie_3","OrdurePiece_oui","OrdureStock_poub","Brico3","Jardin4","HousseMat_non","HousseMatImper_non","HousseMatAntiAc_oui",27.36,6.24,0.51,9.21,0.48,0,0.22,2.27,0.44,0.32,4.42,1.64,1.24,13.68,3.34497970166393,1.97962120639763,0.412109650826833,2.32336763217657,0.392042087776024,0,0.198850858745165,1.18478998490916,0.364643113587909,0.27763173659828,1.69009581545155,0.970778917158225,0.806475865866949,2.68648602318637
0.5,0,7,0,7,0.5,0,3.5,0,7,1,0,0,3.5,1,1,3.5,3.5,0,3.5,0,"4","fum_1","SechLingInt_non","SechLingUtil_5","non","AideMen_oui","TapisNeuf_non","NetSecTapis_non","plantes_1","Chien_non","Chat_oui","TttParAnimal_oui","HamLap_non","InsectFourmi_non","OrdureSortie_2","OrdurePiece_oui","OrdureStock_meuble","Brico3","Jardin3","HousseMat_non","HousseMatImper_non","HousseMatAntiAc_oui",15.04,3.56,0.22,1.62,0.17,0.24,0.09,1.44,0.25,0.12,0.15,0.37,0.23,0.79,2.77508560243837,1.51732262352629,0.198850858745165,0.963174317773006,0.157003748809665,0.215111379616945,0.0861776962410524,0.89199803930511,0.22314355131421,0.113328685307003,0.139761942375159,0.314810739840034,0.207014169384326,0.582215619852664
3.5,0,3.5,0,7,1,1,0,0,7,7,0,0,1,3.5,1,3.5,0,1,0,3.5,"4","fum_1","SechLingInt_oui","SechLingUtil_5","non","AideMen_non","TapisNeuf_oui","NetSecTapis_non","plantes_2","Chien_oui","Chat_non","TttParAnimal_oui","HamLap_non","InsectFourmi_non","OrdureSortie_3","OrdurePiece_oui","OrdureStock_poub","Brico1","Jardin1","HousseMat_non","HousseMatImper_non","HousseMatAntiAc_oui",15.77,11.3,0.6,8.2,0.95,0.49,0.69,7.75,0.09,0.21,0.33,0.98,7.67,1.42,2.81959157583512,2.50959926237837,0.470003629245736,2.21920348405499,0.667829372575655,0.398776119957368,0.524728528934982,2.16905370036952,0.0861776962410524,0.19062035960865,0.285178942233662,0.683096844706444,2.15986879079245,0.883767540168595
